lagtime	NRF_p<1|all	NRF_p=1-3.5|all	NRF_p=3.5-5.4|all	NRF_p=5.4-7.3|all	NRF_p=7.3-9|all	NRF_p=9-11.5|all	NRF_p>11.5|all	se_p<1|all	se_p=1-3.5|all	se_p=3.5-5.4|all	se_p=5.4-7.3|all	se_p=7.3-9|all	se_p=9-11.5|all	se_p>11.5|all
63	0.00263881307453833	0.0056103856077466	0.00787990132329718	0.00996297847252672	0.0101409200895611	0.0130496562620098	0.017661208630643	0.000190471549656243	0.000297421694975057	0.000668182208107584	0.00112337809541049	0.00174222261808089	0.00196474329441408	0.00260957283813808
66	0.00229687933859356	0.00502685134096783	0.00677931942128692	0.00858241193061878	0.00901244068589185	0.0120269411892755	0.0155729741556095	0.000190480359683934	0.000297425176152717	0.000668208732556415	0.00112337460538047	0.00174225535955724	0.00196481389907465	0.00260930563297563
69	0.00192066203557932	0.00435769926199008	0.00627582974505765	0.00813291775333356	0.00878436369275467	0.0114079429484743	0.0147732298062476	0.000190496538946969	0.000297425734867281	0.000668237391528281	0.00112337257694033	0.00174221976772595	0.00196492059040246	0.00260912688640657
72	0.0022120792946254	0.00452350765807684	0.00579447863992225	0.00731862350058272	0.0082888405328335	0.00960368525915245	0.0125411450900574	0.000190496895167267	0.000297428976153917	0.000668279690763242	0.00112338970542388	0.00174223929453642	0.0019649702054608	0.00260907875483928
75	0.00216481418193995	0.00384932400779461	0.00530855484888404	0.00609474217357042	0.00791638861744955	0.00994392479144506	0.0140687636540904	0.000190490349243874	0.000297396116265677	0.000668284427703878	0.00112338519670874	0.00174221320016951	0.00196497891915958	0.0026090391923654
78	0.00188733361944091	0.00357215333581551	0.00433387848425406	0.0042034005649605	0.00693871160990346	0.0083288523049528	0.0163728656125602	0.000190494712590782	0.00029738587539285	0.000668284865460559	0.00112333890194763	0.00174213172300271	0.00196496687734963	0.00260901953536788
81	0.00189573877403055	0.00317364547242059	0.00403806895183878	0.00469735241386704	0.00601737288458124	0.00775937879333816	0.013876931381857	0.000190503653009759	0.000297376827304148	0.000668286167660741	0.00112331104609714	0.00174209697358589	0.00196498163850468	0.00260887000647383
84	0.00188604206940541	0.00329796803588065	0.0041150016063091	0.00507432133014892	0.00602439096028317	0.00715747875079818	0.00992921610640245	0.000190498594208107	0.000297347811637461	0.000668283763177351	0.00112325984435209	0.00174211575524626	0.00196495746481815	0.00260852412770619
87	0.0018743366176943	0.00296171016761385	0.00243919799737731	0.00364635457697167	0.00532342435847324	0.00593058685474936	0.00696749687693649	0.000190486546366435	0.000297329314230404	0.000668292241814293	0.00112323371427718	0.00174215497485191	0.00196497147896972	0.00260816172226741
90	0.00178313567445988	0.00303013390969203	0.00260610671136382	0.00412531888587129	0.00645050494669227	0.00594260621574638	0.00740837100683856	0.000190475735642103	0.000297313442394323	0.000668290980704037	0.00112316719704381	0.00174219011139915	0.00196498753018866	0.00260792251831854
93	0.00161925419193221	0.00247910448310131	0.00179843384980066	0.00293819455781872	0.00603520672873674	0.00530736249803789	0.00422745916073531	0.00019047386291276	0.000297315441196483	0.000668296184309572	0.00112312949763885	0.00174223812367952	0.00196501789496477	0.0026077123982162
96	0.0014246994435127	0.00238036561150732	0.00197111707618985	0.00218931719128557	0.00482540659403564	0.00477339037337587	0.00271219103615017	0.000190469981723777	0.000297309588431324	0.000668341420661264	0.00112315022810445	0.00174223748053269	0.00196502933048261	0.00260757141901552
99	0.00137583976317111	0.00223741790992319	0.00251667349177198	0.00280335829647075	0.00374316028048337	0.00372725735058778	0.00268456507905664	0.00019045734005282	0.000297310715054446	0.000668411345686602	0.0011231676524452	0.00174217982426498	0.00196504899662903	0.00260740699155566
102	0.00135654933461448	0.00217760908713885	0.00296237220672085	0.00379369937119151	0.00328381206144916	0.0028549289142785	0.00272240335468991	0.000190429367673709	0.000297273535925881	0.000668506356042891	0.00112317706920028	0.0017420471246658	0.00196505796840315	0.00260733015427837
105	0.00127243548612342	0.00195676696680961	0.00374144043549367	0.00526623015991823	0.00351353968064789	0.00271742891649125	0.00268777570862351	0.000190389884561292	0.000297230425468845	0.000668583917472941	0.00112321282355956	0.00174193737290065	0.0019649792234465	0.00260727962662586
108	0.00122320944564943	0.00189671498652471	0.00309169958053199	0.00420626714784187	0.00247987903856329	0.00213133264809684	0.00242734955980614	0.000190339859501145	0.000297184438347654	0.000668611565936582	0.00112321251574917	0.00174164365078911	0.0019646526936102	0.00260722769881397
111	0.00127738924061151	0.00184056156924889	0.00227545190577207	0.00306832325023931	0.00228872429662903	0.00230019383216256	0.00247069455451742	0.000190263199283655	0.00029712737688322	0.000668589709385625	0.00112313130717643	0.00174141024288766	0.00196393453256342	0.00260506853254682
114	0.00161839876611885	0.00225870841738812	0.00216339783633787	0.00334522801350593	0.00305364212517407	0.00296086965784307	0.00265921344805589	0.000190126664950554	0.000297025218731818	0.000668559923621038	0.00112282852586174	0.00174115795945083	0.00196340165314273	0.00260336745513602
117	0.00141361164765111	0.00210329633460332	0.00221873588744564	0.00291517747028446	0.00194723590897662	0.00183679762887475	0.00317839581861942	0.000189906025551185	0.000296806374407251	0.00066845091578068	0.0011224494610144	0.00174084073508925	0.00196306805627245	0.00260236180135792
120	0.00138791145310854	0.00199175064246255	0.00190122277129156	0.00211640707391499	0.00080531658189048	0.000930701600606221	0.00259458099350245	0.000189448609691836	0.000296196342026133	0.000668159606598009	0.00112208254677795	0.0017403008224517	0.00196269314549274	0.00260166983238989
